Month,CCPI_Index,CCPI_YoY_Percent,Avg_Weighted_Lending_Rate,USD_LKR_Exchange_Rate,JKH_avg_close,JKH_max_close,JKH_min_close,JKH_avg_volume,COMB_avg_close,COMB_max_close,COMB_min_close,COMB_avg_volume,DIAL_avg_close,DIAL_max_close,DIAL_min_close,DIAL_avg_volume,LOLC_avg_close,LOLC_max_close,LOLC_min_close,LOLC_avg_volume
2022-01-01,124.3,,10.12,201.46,155.1114262172154,160.00881958007812,146.0843963623047,527124.380952381,61.096332368396574,63.12397766113281,59.53824615478516,355821.7619047619,7.598791304088774,8.06611442565918,7.192284107208252,2978242.1904761903,1321.1666666666667,1443.25,1176.0,169313.0
2022-02-01,125.8,,10.13,201.74,151.28907623291016,156.34451293945312,141.73193359375,341702.5,60.27780342102051,61.40581893920898,58.94062042236328,335771.15,7.588868641853333,7.931678771972656,7.326720237731934,3017712.1,1087.825,1193.5,828.75,128529.55
2022-03-01,129.7,,10.35,255.81,146.91674738344938,153.4615020751953,138.0664520263672,537646.0869565217,57.94342405899711,61.18170928955078,51.84215545654297,232249.21739130435,7.4699224389117695,7.864460468292236,6.721761226654053,1729504.0869565217,819.9021739130435,994.75,597.5,138000.26086956522
2022-04-01,142.1,,11.31,319.44,134.12170192173548,145.64178466796875,115.5848617553711,244178.57142857142,46.71188082013812,50.519229888916016,41.3414306640625,460711.38095238095,6.376070771898542,6.654542922973633,5.982367515563965,985822.0476190476,397.57142857142856,489.5,269.0,150440.19047619047
2022-05-01,153.6,,13.46,358.94,124.87074037031694,132.2017059326172,120.22779846191406,175147.5909090909,43.44232888655229,45.39289093017578,41.3414306640625,432801.36363636365,6.342898498881947,6.721761226654053,6.049585342407227,552824.4545454546,524.8295454545455,631.5,415.5,94916.81818181818
2022-06-01,171.7,,15.06,360.24,120.63177143443714,123.9431381225586,117.34263610839844,194782.45454545456,42.39375842701305,43.987281799316406,41.3414306640625,347485.4090909091,6.611623959107832,6.856196880340576,6.2512383460998535,1411216.8636363635,470.3068181818182,601.75,392.25,51132.5
2022-07-01,178.9,,15.94,360.87,118.75120108468192,120.27619171142578,116.85367584228516,168782.09523809524,42.798224857875276,44.64874649047852,41.3414306640625,93440.38095238095,6.688271590641567,6.819628715515137,6.513128280639648,239609.19047619047,390.54761904761904,413.25,354.75,47619.52380952381
2022-08-01,182.8,,16.86,361.0,121.1583782693614,127.12116241455078,116.36476135253906,790351.1739130435,43.68890629643979,46.13703918457031,42.33362579345703,115588.34782608696,6.663047210029934,6.972879409790039,6.283253192901611,791123.8260869565,550.9021739130435,626.25,370.5,143099.13043478262
2022-09-01,189.3,,17.58,362.38,133.24388226595792,147.65614318847656,121.98743438720705,721624.7272727273,44.7915623404763,48.369476318359375,42.82972717285156,175446.9090909091,6.704691670157692,6.896254062652588,6.513128280639648,822242.7727272727,541.7613636363636,608.5,500.25,87150.59090909091
2022-10-01,188.5,,17.94,363.15,127.70322527204242,133.2327423095703,125.6543960571289,526511.5238095238,42.073766617547896,45.14484405517578,41.258750915527344,147739.66666666666,6.319741589682443,6.5897536277771,6.130003452301025,375806.2380952381,416.29761904761904,481.5,388.75,51761.52380952381
